age,gender,degree_level,field_of_study,gpa,years_experience,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,recommended_job_1,recommended_job_2,recommended_job_3
22,Female,Master,Cybersecurity,7.0,0,0,1,0,0,1,0,0,1,0,1,1,1,2,1,1,1,Software Engineer,DevOps Engineer,Cybersecurity Analyst
33,Male,PhD,Data Science,9.3,3,0,1,1,1,0,0,1,1,1,0,0,1,5,3,5,3,Software Engineer,Cloud Engineer,Cybersecurity Analyst
25,Female,PhD,Data Science,7.6,8,1,1,1,1,0,0,0,1,1,0,1,3,3,2,5,3,Software Engineer,Cybersecurity Analyst,Backend Developer
35,Male,Bachelor,AI,7.6,7,1,0,1,0,0,1,1,1,0,1,1,1,2,5,2,2,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,Bachelor,Software Engineering,6.5,7,1,0,1,0,1,1,1,1,1,0,0,4,4,4,1,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
27,Male,Master,Software Engineering,7.0,8,0,1,0,1,0,0,0,1,0,1,1,3,3,1,1,2,Software Engineer,DevOps Engineer,Cybersecurity Analyst
25,Female,PhD,Cybersecurity,7.0,4,0,1,0,1,1,0,1,0,0,0,1,3,4,5,4,3,Software Engineer,Cloud Engineer,Backend Developer
27,Male,Master,Data Science,6.7,8,0,1,1,0,1,1,0,1,0,1,1,3,5,3,5,2,Software Engineer,DevOps Engineer,Cybersecurity Analyst
26,Female,Bachelor,AI,6.7,3,1,1,0,1,1,1,1,1,0,1,0,5,2,4,1,5,Business Intelligence Analyst,Machine Learning Engineer,Data Scientist
32,Female,PhD,Software Engineering,7.0,4,1,0,0,0,0,1,0,0,0,0,1,1,5,4,2,2,Security Engineer,Machine Learning Engineer,Data Scientist
22,Male,Bachelor,Computer Science,8.0,2,0,0,1,1,0,1,0,1,1,0,1,1,2,2,3,5,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
34,Female,Master,Computer Science,6.6,0,0,1,0,0,0,1,1,0,0,0,1,5,4,4,4,4,Software Engineer,Cloud Engineer,Backend Developer
35,Male,PhD,Cybersecurity,9.1,7,1,1,0,0,0,0,1,1,1,0,1,3,2,2,4,4,Software Engineer,Cloud Engineer,Cybersecurity Analyst
35,Male,Bachelor,Data Science,7.2,2,1,1,0,1,0,1,1,1,1,1,1,1,3,2,3,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
24,Female,Master,Data Science,8.2,7,1,1,0,0,0,0,1,0,1,0,1,5,2,1,2,4,Software Engineer,Cloud Engineer,Backend Developer
23,Female,PhD,Computer Science,7.1,1,0,0,1,1,0,1,0,1,0,0,0,4,5,3,1,3,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
33,Female,PhD,Computer Science,6.9,8,1,1,1,1,1,0,1,0,0,1,1,4,2,2,2,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
34,Female,Bachelor,Data Science,8.2,6,1,1,1,1,0,1,1,0,1,0,1,5,2,3,1,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
29,Male,PhD,Data Science,6.8,1,0,0,0,1,1,1,1,0,0,1,1,5,5,4,3,3,Business Intelligence Analyst,Data Analyst,Cloud Engineer
33,Male,Master,Data Science,6.4,7,1,1,0,0,1,1,1,0,1,1,1,4,2,5,4,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
26,Male,Master,AI,6.8,2,1,1,1,0,0,1,0,0,1,1,1,2,4,4,3,5,Software Engineer,DevOps Engineer,Backend Developer
23,Female,PhD,Computer Science,6.6,3,0,1,0,1,1,0,1,1,1,1,0,3,1,2,4,4,Software Engineer,Cloud Engineer,DevOps Engineer
32,Female,PhD,Computer Science,7.1,5,0,1,1,0,1,1,1,0,0,1,0,5,3,2,2,3,Software Engineer,Cloud Engineer,DevOps Engineer
28,Female,PhD,AI,6.6,8,0,1,0,1,1,0,1,1,0,0,0,2,3,4,4,2,Software Engineer,Cloud Engineer,Cybersecurity Analyst
23,Male,PhD,AI,7.3,7,0,0,1,0,0,1,0,1,1,1,1,3,5,5,4,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
35,Female,Bachelor,Computer Science,7.0,8,1,0,1,0,1,0,0,1,1,1,1,3,3,5,4,4,Machine Learning Engineer,Software Engineer,DevOps Engineer
31,Male,Bachelor,Computer Science,7.7,8,1,1,1,0,0,1,0,0,0,1,1,2,1,4,4,2,Software Engineer,DevOps Engineer,Backend Developer
35,Male,Master,Computer Science,6.4,2,0,0,1,0,1,1,1,1,0,1,0,1,3,3,3,3,Software Engineer,Cloud Engineer,DevOps Engineer
26,Male,PhD,Data Science,7.6,2,0,1,0,1,0,1,0,0,1,0,0,4,2,5,1,5,Business Intelligence Analyst,Software Engineer,Data Analyst
32,Male,Bachelor,Cybersecurity,8.0,4,0,1,1,0,1,0,1,1,1,1,1,2,3,2,3,3,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,Bachelor,AI,9.0,3,1,0,0,0,0,1,1,0,0,1,1,3,2,2,5,4,Cloud Engineer,DevOps Engineer,Security Engineer
34,Male,PhD,Software Engineering,7.2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,5,Cybersecurity Analyst,Security Engineer,Machine Learning Engineer
26,Female,Bachelor,Cybersecurity,7.8,5,1,0,1,0,0,0,0,1,1,1,1,3,4,1,2,4,Software Engineer,DevOps Engineer,Cybersecurity Analyst
23,Female,Bachelor,Data Science,6.4,7,1,1,0,1,1,0,1,0,0,0,1,5,5,5,5,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
24,Male,Master,Computer Science,9.9,1,1,1,1,0,1,1,1,1,1,1,0,4,5,3,2,5,AI Researcher,Machine Learning Engineer,Software Engineer
27,Female,Master,Computer Science,8.5,2,0,0,1,0,0,0,1,0,1,1,1,4,3,2,3,2,Software Engineer,Cloud Engineer,DevOps Engineer
21,Male,Master,Cybersecurity,10.0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,3,3,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
28,Female,PhD,Computer Science,8.2,1,0,1,0,1,0,1,0,0,0,1,0,3,2,4,4,3,Business Intelligence Analyst,Software Engineer,DevOps Engineer
23,Female,Master,Software Engineering,8.8,2,1,1,1,0,1,0,1,0,0,1,1,4,5,3,1,1,Machine Learning Engineer,Software Engineer,Cloud Engineer
28,Male,Master,AI,8.9,1,0,1,0,0,0,1,0,1,0,0,1,1,5,1,5,3,Software Engineer,Cybersecurity Analyst,Data Scientist
21,Female,PhD,Cybersecurity,9.3,8,1,1,1,1,0,1,1,1,0,1,1,3,3,1,1,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
32,Female,PhD,Computer Science,9.6,5,0,1,0,1,1,0,1,0,1,1,0,4,5,2,5,1,Software Engineer,Cloud Engineer,DevOps Engineer
24,Female,Master,Computer Science,9.4,3,1,1,1,0,0,0,1,0,1,1,0,4,1,1,2,4,Software Engineer,Cloud Engineer,DevOps Engineer
29,Male,Master,Cybersecurity,7.8,2,1,1,1,1,0,1,1,1,0,1,1,1,5,1,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
34,Male,PhD,Cybersecurity,9.2,1,1,0,1,0,0,0,1,1,0,1,1,5,2,4,5,1,Software Engineer,Cloud Engineer,DevOps Engineer
27,Female,Master,Software Engineering,8.8,7,0,1,0,1,1,0,1,1,1,1,0,5,4,5,5,5,Cybersecurity Analyst,Software Engineer,Cloud Engineer
33,Female,Bachelor,Computer Science,7.6,8,1,0,1,1,0,0,0,1,0,0,0,3,1,1,2,1,Software Engineer,Cybersecurity Analyst,Backend Developer
24,Male,Master,Cybersecurity,7.2,4,0,0,1,0,0,0,0,0,1,1,1,4,4,2,4,1,Software Engineer,DevOps Engineer,Backend Developer
27,Female,Bachelor,Cybersecurity,7.2,4,1,1,0,0,0,1,1,1,0,0,0,3,2,2,3,5,Software Engineer,Cloud Engineer,Cybersecurity Analyst
27,Female,Master,Cybersecurity,7.6,7,1,0,0,0,1,0,0,0,1,1,1,1,5,3,1,2,Machine Learning Engineer,DevOps Engineer,Data Scientist
23,Male,Bachelor,Software Engineering,7.2,1,0,1,0,1,1,0,0,0,0,1,1,2,3,4,5,5,Software Engineer,DevOps Engineer,Backend Developer
25,Female,Master,Software Engineering,7.0,0,0,1,1,1,1,1,0,0,0,0,0,4,2,3,3,1,Business Intelligence Analyst,Software Engineer,Data Analyst
22,Female,Master,Cybersecurity,9.9,0,1,0,0,0,0,0,0,0,1,0,0,3,3,3,3,4,AI Researcher,Frontend Developer,Full Stack Developer
21,Male,Master,Data Science,8.1,1,0,0,0,1,1,0,0,0,0,1,1,5,5,2,2,5,DevOps Engineer,Security Engineer,Business Intelligence Analyst
28,Male,Master,AI,7.5,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,4,1,Machine Learning Engineer,Data Scientist,AI Researcher
29,Female,PhD,Computer Science,6.4,4,0,1,1,0,1,1,1,1,0,0,0,2,5,2,5,5,Software Engineer,Cloud Engineer,Cybersecurity Analyst
33,Male,PhD,Data Science,8.1,8,0,1,1,1,1,0,1,1,1,1,1,1,3,1,5,2,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,PhD,AI,8.7,2,1,1,0,0,1,1,1,0,0,1,0,1,2,5,1,5,Machine Learning Engineer,Software Engineer,Cloud Engineer
29,Male,Bachelor,Data Science,8.1,7,0,0,0,0,0,0,1,1,1,1,0,5,4,3,5,1,Cloud Engineer,DevOps Engineer,Cybersecurity Analyst
35,Female,Master,AI,6.4,4,0,1,0,1,0,0,1,0,0,1,1,5,2,4,2,5,Software Engineer,Cloud Engineer,DevOps Engineer
26,Male,Master,AI,6.3,1,0,1,1,1,0,1,1,0,0,1,0,3,3,3,3,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
32,Male,Bachelor,Cybersecurity,9.4,8,1,0,0,1,1,1,0,0,0,0,1,1,1,1,3,2,AI Researcher,Machine Learning Engineer,Data Scientist
23,Female,Bachelor,Data Science,9.0,2,1,0,1,0,1,1,1,0,1,1,0,5,5,3,5,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
32,Female,Master,AI,7.7,1,0,0,0,1,1,0,1,0,1,0,1,5,2,2,3,1,Cloud Engineer,Frontend Developer,Security Engineer
27,Male,Bachelor,Cybersecurity,9.0,2,0,0,0,1,1,0,1,0,0,0,1,1,2,2,2,5,Cloud Engineer,Security Engineer,Machine Learning Engineer
34,Male,Master,Computer Science,9.5,8,1,0,1,1,1,0,1,0,1,1,0,3,1,3,1,1,AI Researcher,Machine Learning Engineer,Software Engineer
28,Male,PhD,Software Engineering,8.7,8,0,0,1,0,1,0,1,1,0,0,1,5,3,1,2,4,Software Engineer,Cloud Engineer,Cybersecurity Analyst
26,Male,Bachelor,Cybersecurity,9.2,1,0,1,0,0,1,0,0,1,1,0,0,4,5,4,4,5,Software Engineer,Cybersecurity Analyst,Backend Developer
28,Male,Master,Computer Science,7.9,2,1,0,1,0,1,1,1,0,0,0,1,4,4,3,3,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
28,Male,Master,AI,6.6,1,1,1,1,1,1,0,0,1,1,1,0,2,3,3,2,2,Machine Learning Engineer,Software Engineer,DevOps Engineer
26,Male,PhD,Data Science,7.2,6,1,1,1,0,1,0,0,1,1,1,0,1,1,4,4,1,Machine Learning Engineer,Software Engineer,DevOps Engineer
30,Female,PhD,Cybersecurity,8.6,7,1,0,0,0,0,1,0,0,1,0,1,1,4,4,4,5,Frontend Developer,Security Engineer,Full Stack Developer
30,Male,Master,Data Science,7.4,5,0,0,1,1,0,1,0,1,0,1,1,2,3,1,4,2,Business Intelligence Analyst,Software Engineer,DevOps Engineer
22,Male,Master,Data Science,7.1,2,0,0,0,1,0,1,0,0,1,0,0,5,3,1,5,1,Business Intelligence Analyst,Data Analyst,Frontend Developer
26,Female,PhD,Data Science,9.0,5,1,1,1,1,0,1,1,0,0,0,1,5,5,2,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
21,Male,PhD,Software Engineering,9.8,5,0,0,0,0,1,0,0,0,0,0,1,5,5,5,2,5,AI Researcher,Security Engineer,Business Intelligence Analyst
22,Male,Bachelor,Software Engineering,9.6,4,0,0,1,1,1,1,0,1,0,1,0,2,4,4,4,1,Business Intelligence Analyst,Software Engineer,DevOps Engineer
23,Male,Master,Data Science,8.3,5,1,0,1,1,0,1,0,0,1,1,1,2,2,5,5,1,Business Intelligence Analyst,Software Engineer,DevOps Engineer
25,Male,PhD,Cybersecurity,7.6,2,1,1,1,1,0,1,1,0,1,1,0,4,4,2,2,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
22,Male,Bachelor,AI,7.3,0,1,0,1,1,1,1,1,0,0,0,0,4,3,1,4,1,Business Intelligence Analyst,Machine Learning Engineer,Data Scientist
23,Female,PhD,AI,6.6,0,0,0,0,0,1,0,0,0,1,1,1,5,3,1,1,1,DevOps Engineer,Frontend Developer,Security Engineer
22,Female,PhD,Data Science,7.6,6,0,1,0,1,1,1,1,1,0,0,1,3,5,5,4,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
31,Female,Master,Cybersecurity,7.1,3,0,0,0,1,1,1,0,1,0,0,0,3,2,5,4,2,Business Intelligence Analyst,Cybersecurity Analyst,Data Analyst
33,Male,Master,AI,7.2,8,1,0,0,1,0,1,0,0,0,0,0,3,2,4,5,1,Business Intelligence Analyst,Data Analyst,Data Scientist
23,Female,Bachelor,Cybersecurity,8.8,5,0,1,0,1,1,0,1,0,0,0,1,4,5,4,5,1,Software Engineer,Cloud Engineer,Backend Developer
21,Male,Bachelor,Data Science,8.5,4,0,0,0,0,1,0,0,1,1,0,0,3,1,3,4,5,Cybersecurity Analyst,Frontend Developer,Full Stack Developer
27,Male,PhD,Software Engineering,7.0,4,1,0,0,0,1,0,1,1,0,0,0,1,2,5,3,2,Machine Learning Engineer,Cloud Engineer,Cybersecurity Analyst
27,Male,PhD,Data Science,7.8,8,1,0,0,0,1,1,1,0,1,0,1,3,4,4,2,2,Machine Learning Engineer,Cloud Engineer,Data Scientist
31,Male,Bachelor,AI,8.1,6,0,0,1,0,0,0,0,0,1,1,0,2,2,2,5,5,Software Engineer,DevOps Engineer,Backend Developer
24,Female,Bachelor,Computer Science,8.2,6,0,0,0,1,1,0,1,0,0,1,0,1,4,4,5,1,Cloud Engineer,DevOps Engineer,Machine Learning Engineer
25,Male,Bachelor,Software Engineering,7.0,2,1,0,1,0,1,1,1,1,1,0,0,5,2,1,1,4,Machine Learning Engineer,Software Engineer,Cloud Engineer
32,Male,Bachelor,Computer Science,7.4,5,1,1,1,0,1,1,1,1,0,1,1,2,3,3,5,3,Machine Learning Engineer,Software Engineer,Cloud Engineer
27,Female,PhD,AI,7.6,0,0,1,0,1,1,1,1,0,1,0,0,3,4,5,5,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
22,Male,Bachelor,AI,9.2,7,1,1,0,1,1,0,0,1,0,1,0,1,1,1,5,2,Machine Learning Engineer,Software Engineer,DevOps Engineer
22,Male,Bachelor,Software Engineering,6.4,8,0,1,1,1,0,0,1,1,1,0,1,2,3,5,1,5,Software Engineer,Cloud Engineer,Cybersecurity Analyst
25,Male,Bachelor,Data Science,8.1,1,1,1,0,0,1,0,1,1,1,0,0,1,3,3,2,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
32,Male,Bachelor,Data Science,8.2,1,0,1,1,1,0,1,1,1,1,0,0,2,5,4,5,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Female,Master,AI,8.4,5,1,0,0,1,0,1,1,0,1,1,0,2,3,1,5,1,Business Intelligence Analyst,Cloud Engineer,DevOps Engineer
27,Male,Bachelor,Software Engineering,9.2,3,1,1,0,1,0,1,1,0,0,1,0,5,4,2,3,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Female,Bachelor,AI,9.3,5,1,1,0,0,0,0,0,0,1,1,0,4,3,5,3,2,Software Engineer,DevOps Engineer,AI Researcher
27,Female,PhD,Software Engineering,7.7,1,1,1,0,1,0,1,0,0,1,0,0,3,2,4,5,2,Business Intelligence Analyst,Software Engineer,Data Analyst
27,Male,Bachelor,Computer Science,9.8,4,0,0,1,1,0,1,0,0,0,1,1,3,1,3,5,2,Business Intelligence Analyst,Software Engineer,DevOps Engineer
30,Female,PhD,Data Science,9.3,4,0,0,1,1,0,1,0,0,0,0,1,2,4,3,1,3,Business Intelligence Analyst,Software Engineer,AI Researcher
28,Female,Bachelor,Software Engineering,8.8,6,1,0,1,1,0,1,1,0,1,0,1,4,4,5,4,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
24,Male,Master,Data Science,9.6,0,0,0,1,0,0,1,0,1,1,1,1,3,2,4,2,1,Software Engineer,DevOps Engineer,Cybersecurity Analyst
32,Female,Master,AI,6.9,2,0,1,0,0,1,1,1,0,0,0,1,4,4,3,4,2,Software Engineer,Cloud Engineer,Backend Developer
35,Female,PhD,Software Engineering,7.3,5,1,0,1,1,0,1,1,0,0,1,0,4,1,1,2,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
28,Male,Master,Computer Science,7.8,0,0,1,0,0,1,1,0,0,1,0,1,2,4,1,5,3,Software Engineer,Backend Developer,Frontend Developer
33,Female,Master,Data Science,8.4,7,0,1,0,0,0,0,1,0,0,1,0,3,5,5,3,4,Software Engineer,Cloud Engineer,DevOps Engineer
26,Male,PhD,Software Engineering,9.3,5,1,0,0,0,0,1,0,1,0,0,1,4,5,4,2,4,Cybersecurity Analyst,AI Researcher,Security Engineer
30,Female,PhD,Computer Science,7.5,2,1,0,1,0,0,1,0,0,0,0,0,2,5,3,1,3,Software Engineer,Backend Developer,Machine Learning Engineer
30,Female,Bachelor,Software Engineering,9.4,6,1,1,1,0,0,0,0,1,0,0,0,4,5,4,1,2,Software Engineer,Cybersecurity Analyst,AI Researcher
27,Male,Bachelor,Computer Science,6.7,0,1,0,1,1,1,1,0,0,0,1,1,1,3,1,4,2,Machine Learning Engineer,Data Scientist,Business Intelligence Analyst
29,Male,PhD,Cybersecurity,6.9,8,1,1,0,1,0,1,1,0,1,1,1,3,1,3,2,2,Cloud Engineer,Business Intelligence Analyst,Software Engineer
35,Female,Master,Data Science,9.6,1,0,0,1,1,0,1,1,1,0,0,0,2,5,5,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
21,Male,Bachelor,Data Science,9.2,4,1,0,1,1,1,1,1,0,0,0,1,3,2,3,3,2,Machine Learning Engineer,Data Scientist,Business Intelligence Analyst
30,Female,PhD,AI,9.8,2,0,0,1,0,1,0,0,1,1,0,1,5,2,2,5,5,Software Engineer,Cybersecurity Analyst,AI Researcher
31,Female,Bachelor,Cybersecurity,8.0,5,1,0,1,0,1,1,1,1,1,0,0,1,1,3,5,3,Machine Learning Engineer,Software Engineer,Cloud Engineer
22,Female,Bachelor,Software Engineering,9.8,0,1,0,0,1,0,1,1,1,0,1,1,3,2,2,3,3,Business Intelligence Analyst,Cloud Engineer,DevOps Engineer
